key,english


useSwitchLightOff,"Turn Off"
useSwitchLightOn,"Turn On"


buffElementHotShowerWetName,"Cleanliness"
buffElementHotShowerWetDesc,"Normally under the rain, you get colder, but since you've taken a hot shower, you receive some unexpected benefits.\n\nStamina Regeneration: [DECFA4]+{cvar(.StaminaRegeneration:0.0)}%[-]\n\nRunning Speed: [DECFA4]+{cvar(.RunSpeed:0.0)}%[-]\n\nCold Resist: [DECFA4]+{cvar(.ColdResistance:0.0)}[-]"
buffElementHotShowerWetTooltip,"You enjoy a hot shower"


ztMasterBlocks,"[e38d23](UBBI) Sets"
ztWoodBasedParentBlocks,"[e38d23](UBBI) Wood Sets"
ztKitchenParentBlocks,"[e38d23](UBBI) Kitchen Sets"
ztKitchenParentBlocksDesc,This master set includes kitchen set pieces.
ztKitchenAppliancesParentBlocks,"[e38d23](UBBI) Kitchen Appliances"
ztSofaParentBlocks,"[e38d23](UBBI) Sofa Items"
ztElectronicParentBlocks,"[e38d23](UBBI) Electronics"
ztGlassParentBlocks,"[e38d23](UBBI) Windows & Glass"
ztPoweredDoorParentBlocks,"[e38d23](UBBI) Powered Doors"
ztDoorParentBlocks,"[e38d23](UBBI) Doors"
ztGlassDoorParentBlocks,"[e38d23](UBBI) Glass Doors"


ZT_KitchenBlocks,"Kitchen Furniture Variants [e38d23](UBBI)" 
ZT_KitchenBlocksDesc,"Kitchen cabinets and sinks for the zombie apocalypse!"
ZT_KitchenAppliances,"Kitchen Appliances Variants [e38d23](UBBI)"
ZT_KitchenAppliancesDesc,"Kitchen appliances that somehow work in the zombie apocalypse, who knew!"
ZT_DecorBlocks,"Decor Variants [e38d23](UBBI)"
ZT_DecorBlocksDesc,"Decorations even for the zombie apocalypse!"
ZT_TablesChairs,"Table & Chair Variants [e38d23](UBBI)"
ZT_TablesChairsDesc,"Tables and chairs for the zombies apocalypse!"
ZT_SofaBlocks,"Sofa Variants [e38d23](UBBI)"
ZT_SofaBlocksDesc,"Sofa furniture for the zombie apocalypse!"
ZT_BedroomBlocks,"Bedroom Furniture Variants [e38d23](UBBI)"
ZT_BedroomBlocksDesc,"Bedroom furniture for the zombie apocalypse!"
ZT_Electronics,"Electronics Variants [e38d23](UBBI)"
ZT_ElectronicsDesc,"Electronics that somehow work in the zombie apocalypse, who knew!"
ZT_Lights,"Sonja Lights [e38d23](UBBI)"
ZT_LightsDesc,"Lights that somehow work in the zombie apocalypse, who knew!"
ZT_BathroomBlocks,"Bathroom Furniture Variants [e38d23](UBBI)" 
ZT_BathroomBlocksDesc,"Bathroom furniture and amenities for the zombie apocalypse!"
ZT_OutDoor,"Outdoor Furniture Variants [e38d23](UBBI)"
ZT_OutDoorDesc,"Outdoor furniture and outdoor decor for the zombie apocalypse!"
ZT_Doors,"Wooden Door Variants  [e38d23](UBBI)"
ZT_DoorsDesc,"Wooden doors for the zombie apocalypse!"
ZT_PoweredDoors,"Sonja Power Doors [e38d23](UBBI)"
ZT_PoweredDoorsDesc,"The most reliable doors that nice things can get you. Make sure to connect these doors to a generator bank, fuel them and connect them with other items like timer relays and switches to make use of opening the door yourself, relying on the daynight cycle to open/close these door and more. The choice is yours!"
