Key,english

MysteriousBagDesc, "A bag belonging to an old friend."
FriendLetterDesc, "I'm sorry about that, I'm ashamed but I had no choice but to go along with the other goons... I left you my sidearm, my pocket knife and a few other things that I think could be useful. Also, I hid your stuff a bit further in a bag, The directions to find it are behind this note... It's all I could do for you, good luck my friend.  (USE THIS ITEM'S RECIPES (DEFAULT KEY: A) TO CRAFT YOUR STARTER BUNDLE.)"
MECBundleDesc, "You used to be a mechanic. Spending your days covered in motor oil and grease was well worth it, as your skills turned out to be lifesaving in the apocalypse. This bundle contains a scavenger set, a wrench, vehicule magazines and other related items."
LUMBundleDesc, "You used to be a lumberjack. The forest have no secrets for you, but more importantly, you know how to handle a axe. This bundle contains a lumberjack set, an iron axe and other related items."
MINBundleDesc, "You used to be a miner. Living most of your days underground, fueled only by rage and coffee...Not much have changed. This bundle contains a miner set, an iron pickaxe and other related items."
ATHBundleDesc,  "You used to be a professional athlete. Hitting homeruns was your living, but now, it's what's keeping you alive. This bundle contains an athletic set,a baseball bat and other related items."
PREBundleDesc, "You are a no holds barred man of the cloth. You know how to help your kindred and how to keep the dead in the ground. This bundle contains a preacher set, a crossbow and first aids related books"
CRIBundleDesc, "You used to be in a gang. You're the only one left now, but at least there's no cop and you still have beer. This bundle contains a biker set, a brass knuckles and other related items."
COPBundleDesc, "You used to be a cop. Watching too much Clint Eastwood movies didn't exactly helped your career, but it turned out pretty useful in this new grim world. This bundle contains an enforcer set, a magnum and other related items."
HUNBundleDesc, "You used to be a hunter. Your previous life prepared you well for your new one. Turned out shooting zombies aint much different from shooting deers. This bundle contains a ranger set, a hunting rifle and other related items."
SOLBundleDesc, "You used to be a Soldier. Who would have thought the ex-spec op would survive the apocalypse, uh? probably everyone. This bundle contains a commando set, ak-47 and other related items."
FARBundleDesc, "You are a Farmer. It's a hard but peaceful life... Or at least, it WAS peaceful until those god damn city people got 'em zombie all over the place! This bundle contains a farmer set, shovel, shotgun and seeds magazines"
THIBundleDesc, "A Thief is always a thief. You know how to handle a safe, may it be silently or in a hurry. This bundle contains a rogue set, explosives and other related items."
ASSBundleDesc, "--REDACTED-- This bundle contains an assassin set, wooden bow and other related items."
GAMBundleDesc, "You call yourself 'Nomad' but you're just Gamer. On the contrary to what your parents said, playing houdreds of hours of Fallout and Dead rising weren't such a waste of time after all. This bundle contains a nomad set, a makeshift spear, junk food and other related items."
ENGBundleDesc, "You used to be an Engineer. Technology and robotic have no secrets for you and you know how to put that knowledge to good use. This bundle contains a nerd set and all the books you need to start building traps right away."
CONBundleDesc, "You used to be a construction worker. The job was hard on your body, but at least you know how to build stuff...And destroy it. This bundle contains a mixed set of armor, sledgehammer, nail gun and other related items."
HOBBundleDesc, "When you're down on your luck and you've lost all your dreams there's nothing like a campfire and a can of beans. This bundle contains a shotgun and cooking tools to get you started."
